"Accession" "Tasseling" "Tasseling_GDUb6" "Silking" "Silking_GDUb6" "ASI" "ASI_GDUb6" "DMC" "DM_Yield" "PLHT" "DMC_Flo" "DM_Yield_Flo"
"1" "1" "205.42" "898.20" "206.27" " 906.36" " 0.86460" " 8.9856" "35.4520" "14.7528" "255.37" " 1.60280" "-1.361600"
"2" "2" "201.71" "852.72" "202.66" " 864.24" " 1.09100" "13.3105" "38.4443" "13.6054" "233.13" " 2.08730" "-1.909100"
"3" "3" "208.62" "934.01" "210.45" " 955.27" " 1.79860" "20.4785" "30.5019" "15.7517" "269.88" "-1.03140" "-0.821300"
"4" "4" "202.14" "859.19" "205.23" " 895.22" " 2.85380" "33.1689" "31.9076" "14.6164" "259.59" "-2.88410" "-1.362400"
"5" "5" "201.15" "848.05" "203.48" " 873.33" " 2.55880" "28.2845" "33.4974" "14.7268" "232.52" "-2.34400" "-0.889100"
"6" "6" "203.30" "872.46" "205.07" " 892.39" " 1.69500" "19.3396" "32.4303" "15.8645" "250.02" "-1.73820" "-0.004250"
"7" "7" "201.50" "852.71" "202.84" " 867.51" " 1.45860" "16.2668" "37.1409" "15.7447" "258.38" " 1.01410" " 0.083660"
"8" "8" "205.61" "900.39" "209.15" " 939.87" " 3.03770" "32.9252" "32.1775" "15.3685" "257.93" "-0.05910" "-1.087600"
"9" "9" "204.38" "885.88" "204.08" " 881.24" "-0.13970" "-2.0890" "31.8764" "15.7786" "247.15" "-2.68560" " 0.122100"
"10" "10" "205.54" "898.01" "205.84" " 899.86" " 0.65310" " 7.0917" "33.7116" "16.9351" "255.42" "-0.24430" " 1.039500"
"11" "11" "207.12" "917.93" "208.04" " 927.32" " 0.96550" " 9.3925" "30.5689" "17.0469" "268.60" "-2.29110" " 0.816000"
"12" "12" "204.52" "886.97" "205.64" " 899.19" " 1.17860" "12.3476" "31.5862" "16.8579" "256.31" "-2.58810" " 0.997900"
"13" "13" "204.93" "891.35" "205.83" " 900.62" " 1.19930" "13.9087" "33.9700" "15.0581" "260.49" " 0.15930" "-0.956600"
"14" "14" "213.38" "990.07" "213.89" " 995.74" " 0.86370" " 8.6299" "29.2065" "18.7815" "272.41" " 0.46520" " 1.879800"
"15" "15" "206.44" "909.33" "208.72" " 936.80" " 2.05610" "23.5402" "31.2908" "17.1665" "276.13" "-0.85130" " 0.753100"
"16" "16" "210.84" "963.45" "211.41" " 968.04" " 0.98660" " 9.6056" "31.4408" "17.4200" "276.44" " 1.34110" " 0.949800"
"17" "17" "207.75" "924.61" "209.32" " 943.02" " 1.47590" "16.6807" "29.9809" "16.8776" "261.51" "-1.68740" " 0.359300"
"18" "18" "210.38" "955.73" "211.30" " 966.03" " 1.03220" "11.5821" "31.9719" "17.5836" "278.44" " 0.99350" " 1.009600"
"19" "19" "207.27" "917.80" "210.87" " 958.71" " 3.12490" "35.1168" "31.1475" "14.6743" "273.39" "-0.89680" "-1.860900"
"20" "20" "202.96" "868.64" "203.82" " 878.06" " 0.97450" "11.0318" "34.1182" "14.7358" "230.38" "-0.48020" "-1.062700"
"21" "21" "204.58" "886.36" "205.18" " 894.21" " 0.34070" " 4.4253" "33.6857" "16.9874" "258.11" "-0.93240" " 1.097700"
"22" "22" "203.31" "873.48" "204.82" " 889.12" " 1.53460" "16.2728" "33.8285" "14.7292" "252.11" "-0.78660" "-1.176400"
"23" "23" "203.85" "878.53" "204.84" " 888.96" " 1.34180" "15.1333" "32.1858" "16.2489" "257.89" "-2.22940" " 0.504100"
"24" "24" "203.31" "872.11" "204.88" " 888.76" " 1.79370" "20.2055" "35.4616" "15.8359" "250.76" " 0.40910" "-0.004630"
"25" "25" "203.08" "869.91" "205.79" " 901.00" " 2.38240" "26.7975" "36.6978" "16.7973" "276.45" " 2.56160" " 0.743800"
"26" "26" "204.72" "889.92" "204.57" " 886.78" " 0.15890" " 1.4768" "33.8504" "17.9705" "256.81" "-1.04780" " 2.171300"
"27" "27" "202.31" "861.16" "204.88" " 889.20" " 2.85100" "31.9922" "36.4288" "15.1351" "236.22" " 1.21410" "-0.761400"
"28" "28" "203.09" "869.75" "204.10" " 881.20" " 0.93080" "10.3900" "35.7184" "16.7983" "264.33" " 0.02137" " 0.901000"
"29" "29" "206.89" "914.42" "208.70" " 935.65" " 1.76240" "20.4642" "32.7282" "16.2635" "253.05" " 0.01122" "-0.035480"
"30" "30" "199.75" "831.35" "202.41" " 861.21" " 2.61070" "29.7132" "33.2899" "12.7351" "238.03" "-2.56750" "-2.802400"
"31" "31" "200.28" "839.19" "201.96" " 857.88" " 1.73350" "19.8385" "36.1294" "13.3099" "238.93" " 0.35650" "-1.934000"
"32" "32" "200.30" "837.02" "201.03" " 844.07" " 0.78540" " 8.3855" "37.9208" "13.4498" "233.78" " 0.08735" "-1.851000"
"33" "33" "204.45" "885.84" "206.15" " 904.61" " 1.76500" "20.2339" "32.4908" "15.3238" "247.83" "-0.58740" "-0.458600"
"34" "34" "202.47" "861.81" "205.66" " 898.42" " 3.11350" "37.0161" "31.4900" "13.7497" "244.07" "-3.11480" "-2.306300"
"35" "35" "206.62" "910.22" "208.10" " 926.93" " 1.55530" "16.5375" "30.9258" "18.4786" "259.67" "-2.25400" " 2.297200"
"36" "36" "203.93" "878.63" "206.35" " 907.54" " 2.27280" "26.3097" "35.9911" "15.3249" "256.87" " 2.00410" "-0.671300"
"37" "37" "201.19" "847.27" "202.97" " 867.62" " 1.94220" "22.2409" "38.0868" "12.9123" "230.30" " 2.02790" "-2.622700"
"38" "38" "203.19" "871.62" "205.09" " 892.84" " 1.78720" "20.7329" "34.7332" "16.3132" "260.30" " 0.26750" " 0.364000"
"39" "39" "207.45" "921.94" "209.57" " 945.40" " 1.90550" "19.2410" "30.1755" "17.7909" "265.42" "-2.08810" " 1.723700"
"40" "40" "203.88" "879.43" "204.82" " 888.43" " 1.20320" "12.7347" "36.4306" "15.5311" "269.68" " 1.54810" "-0.427300"
"41" "41" "207.72" "926.20" "209.26" " 944.28" " 1.27600" "14.1561" "28.4369" "16.8239" "271.60" "-3.29870" " 0.466300"
"42" "42" "212.02" "974.36" "214.45" "1005.14" " 2.22240" "26.7218" "27.2843" "17.5148" "286.80" "-1.64050" " 0.274400"
"43" "43" "206.59" "911.39" "208.92" " 937.29" " 2.13220" "23.3746" "34.2291" "16.4631" "270.81" " 1.94460" " 0.179800"
"44" "44" "206.36" "908.25" "207.62" " 922.28" " 1.55090" "17.6996" "33.7097" "16.9215" "270.67" " 0.55840" " 0.761200"
"45" "45" "205.46" "896.04" "206.39" " 906.45" " 1.12350" "12.4675" "30.7190" "16.3905" "264.65" "-2.77580" " 0.428500"
"46" "46" "209.42" "945.48" "211.28" " 966.30" " 2.03260" "22.4870" "30.3690" "17.6313" "275.01" "-0.14230" " 0.974900"
"47" "47" "207.32" "920.40" "209.88" " 947.28" " 2.59590" "27.9041" "29.9552" "16.3266" "267.39" "-1.93430" "-0.126400"
"48" "48" "205.77" "901.01" "206.25" " 906.51" " 0.53680" " 5.5159" "33.4599" "18.4764" "254.86" "-0.68980" " 2.422500"
